Designator,Mid X,Mid Y,Rotation,Layer
R26,303.229998,-179.25,0.0,top
R27,304.7,-159.3,180.0,top
R28,303.229998,-161.25,0.0,top
R29,302.2,-163.3,180.0,top
R3,304.25,-134.075,270.0,top
R30,301.3,-159.3,180.0,top
R31,315.1,-190.4,90.0,top
R32,319.55,-179.45,0.0,top
R33,327.2,-117.0,0.0,top
R34,327.8,-166.5,0.0,top
R35,152.750003,-120.675002,0.0,top
R36,152.750004,-125.675001,0.0,top
R37,153.500003,-117.175001,90.0,top
R38,151.750006,-117.150003,270.0,top
R39,151.750004,-129.175,270.0,top
R4,301.175,-137.825,0.0,top
R40,153.500004,-129.175001,270.0,top
R41,159.1618,-188.774799,0.0,top
R42,159.1618,-187.024799,180.0,top
R43,159.1618,-185.274799,180.0,top
R44,274.550049,-125.944542,180.0,top
R45,278.387552,-125.944541,180.0,top
R46,225.5,-140.0,180.0,top
R47,204.0,-146.25,180.0,top
R48,230.5,-140.0,0.0,top
R49,221.5,-167.75,0.0,top
R5,302.325,-131.575,0.0,top
R50,221.5,-166.75,0.0,top
R51,221.5,-165.75,0.0,top
R52,238.0,-127.0,180.0,top
R53,238.0,-128.0,180.0,top
R54,238.0,-129.0,180.0,top
R55,154.8,-155.4,180.0,top
R56,150.425,-163.0,180.0,top
R57,190.75,-170.5,270.0,top
R58,214.925,-179.5,180.0,top
R59,217.5,-177.5,0.0,top
R6,301.5,-129.075,270.0,top
R7,301.749999,-152.537499,90.0,top
R8,302.499999,-150.212499,0.0,top
R9,304.749999,-146.212499,90.0,top
U1,334.850002,-120.75,270.0,top
U10,158.65,-123.075002,270.0,top
U11,162.986801,-186.974799,90.0,top
U2,208.75,-161.8375,270.0,top
U3,190.320001,-181.6,180.0,top
U5,334.850001,-170.450002,270.0,top
U7,252.4092,-193.024899,180.0,top
U8,240.839301,-192.774797,180.0,top
U9,229.570001,-192.574999,180.0,top
Y3,231.614999,-142.935001,90.0,top
Y4,225.635002,-142.935006,90.0,top
